img_id,folder_name,category_id,category_abbre,category_full_name,yolo_labels,places365_label
000057.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,,
000058.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve,clock,
000059.jpg,DENSE,22,PL-Den,Random- Dense,,
000060.jpg,PERSPECTIVE,21,S-Per,Perspective,,
000061.jpg,DENSE,22,PL-Den,Random- Dense,,
000062.jpg,PERSPECTIVE,21,S-Per,Perspective,,
000063.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,broccoli,
000064.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,vase,
000065.jpg,PERSPECTIVE,21,S-Per,Perspective,person,
000066.jpg,SCATTER,24,P-Scat,Scatter,,
000067.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
000069.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,bird,
000070.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,"bird,person",
000071.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
000074.jpg,PATTERN,23,PL-Pat,Pattern,,
000076.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,train,
000077.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,bird,
000078.jpg,DENSE,22,PL-Den,Random- Dense,,
000079.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,"surfboard,snowboard",
000080.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,bear,
000081.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,donut,
000083.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
000085.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,"bowl,dining table",
000086.jpg,DIFFUSE,20,LS-Dif,Diffuse,,
000087.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,"banana,knife",
000088.jpg,PERSPECTIVE,21,S-Per,Perspective,,
000089.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
000090.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,bird,
000091.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,banana,
000092.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,,
000093.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
000094.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,person,
000096.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,dog,
000097.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,bird,
000098.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,"cake,dining table",
000100.jpg,SCATTER,24,P-Scat,Scatter,,
000101.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,,
000102.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,person,
000104.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
000105.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,"clock,traffic light",
000106.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,cell phone,
000107.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,,
000108.jpg,SCATTER,24,P-Scat,Scatter,boat,
000109.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,,
000110.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,bird,
000111.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,bird,
000112.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,bird,
000113.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,apple,
000114.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,"couch,refrigerator",
000116.jpg,SCATTER,24,P-Scat,Scatter,,
000117.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line,,
000118.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,clock,
000119.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,,
000120.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,bird,
000121.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,scissors,
000122.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,"orange,apple",
000123.jpg,DENSE,22,PL-Den,Random- Dense,,
000124.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,,
000125.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,sports ball,
000126.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,"person,train",
000128.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,,
000129.jpg,PERSPECTIVE,21,S-Per,Perspective,,
000130.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
000132.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,orange,
000134.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,,
000135.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,broccoli,
000136.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,person,
000137.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
000138.jpg,PATTERN,23,PL-Pat,Pattern,,
000139.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,bird,
000140.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
000141.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,mouse,
000142.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,fork,
000143.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
000144.jpg,DENSE,22,PL-Den,Random- Dense,,
000145.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,person,
000146.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,"car,person",
000147.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,,
000149.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
000150.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve,,
000151.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,surfboard,
000152.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,bowl,
000153.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,person,
000155.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
000156.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,airplane,
000158.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,,
000159.jpg,SCATTER,24,P-Scat,Scatter,clock,
000160.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,tie,
000161.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,"kite,person",
000162.jpg,DIFFUSE,20,LS-Dif,Diffuse,clock,
000163.jpg,SCATTER,24,P-Scat,Scatter,"toilet,cup,sink",
000164.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,person,
000165.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,car,
000166.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,bed,
000167.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,,
000168.jpg,PATTERN,23,PL-Pat,Pattern,,
000169.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,apple,
000170.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,"bird,bear",
000171.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
000172.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
000173.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,,
000174.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,bear,
000175.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,broccoli,
000176.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,bird,
000177.jpg,PERSPECTIVE,21,S-Per,Perspective,,
000178.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
000179.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
000180.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,"car,fire hydrant",
000181.jpg,PERSPECTIVE,21,S-Per,Perspective,,
000182.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,"person,boat",
000183.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,dog,
000184.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
000185.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
000186.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,person,
000187.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,,
000188.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,person,
000189.jpg,PERSPECTIVE,21,S-Per,Perspective,,
000190.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,,
000191.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,"person,boat",
000193.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,person,
000194.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,,
000195.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,giraffe,
000196.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,"boat,person,kite",
000197.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve,"person,tennis racket",
000198.jpg,DENSE,22,PL-Den,Random- Dense,teddy bear,
000199.jpg,SCATTER,24,P-Scat,Scatter,cake,
000200.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,clock,
000201.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,bird,
000202.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,frisbee,
000203.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,"baseball glove,banana",
000204.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
000205.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,snowboard,
000206.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,bird,
000207.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,,
000208.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,bear,
000209.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
000210.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,pizza,
000211.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,,
000212.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,"tv,car",
000214.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,person,
000215.jpg,PATTERN,23,PL-Pat,Pattern,"suitcase,chair",
000216.jpg,PERSPECTIVE,21,S-Per,Perspective,,
000217.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
000219.jpg,PATTERN,23,PL-Pat,Pattern,,
000220.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,,
000221.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,,
000222.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,car,
000223.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,"boat,person",
000224.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
000225.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,person,
000226.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,person,
000227.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
000228.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,"cake,dining table",
000229.jpg,PERSPECTIVE,21,S-Per,Perspective,refrigerator,
000230.jpg,PERSPECTIVE,21,S-Per,Perspective,fire hydrant,
000232.jpg,DENSE,22,PL-Den,Random- Dense,bench,
000233.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,vase,
000234.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,train,
000235.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve,person,
000236.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
000237.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,bird,
000238.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,person,
000239.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,"apple,orange",
000240.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve,person,
000242.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
000243.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,broccoli,
000244.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
000245.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line,vase,
000246.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
000247.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
000248.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,orange,
000249.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
000251.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,bird,
000252.jpg,PATTERN,23,PL-Pat,Pattern,motorcycle,
000253.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,cow,
000255.jpg,PATTERN,23,PL-Pat,Pattern,,
000256.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,cell phone,
000257.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,"scissors,person",
000258.jpg,PERSPECTIVE,21,S-Per,Perspective,,
000260.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
000261.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,umbrella,
000263.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve,,
000264.jpg,DIFFUSE,20,LS-Dif,Diffuse,clock,
000265.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,bird,
000266.jpg,PERSPECTIVE,21,S-Per,Perspective,refrigerator,
000267.jpg,DIFFUSE,20,LS-Dif,Diffuse,,
000268.jpg,DENSE,22,PL-Den,Random- Dense,,
000271.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,,
000273.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
000274.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,"bird,boat",
000275.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,"person,carrot",
000277.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,person,
000278.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,"apple,dining table",
000280.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,horse,
000282.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,bird,
000283.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,,
000284.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,dog,
000285.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,"refrigerator,microwave",
000286.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,cake,
000287.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,bird,
000288.jpg,PATTERN,23,PL-Pat,Pattern,clock,
000289.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,boat,
000290.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,horse,
000292.jpg,PERSPECTIVE,21,S-Per,Perspective,,
000293.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
000294.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line,,
000295.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line,,
000297.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line,,
000298.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,person,
000299.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,bird,
000300.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,orange,
000301.jpg,SCATTER,24,P-Scat,Scatter,bird,
000302.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,bird,
000303.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,bird,
000304.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,cup,
000306.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,person,
000308.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
000309.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,"boat,person",
000310.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line,car,
000311.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,"stop sign,person,car",
000312.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,"boat,person",
000313.jpg,PATTERN,23,PL-Pat,Pattern,,
000314.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
000315.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
000316.jpg,PATTERN,23,PL-Pat,Pattern,wine glass,
000317.jpg,PERSPECTIVE,21,S-Per,Perspective,,
000318.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
000319.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,,
000320.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,,
000321.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,"vase,bottle",
000323.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,,
000324.jpg,PATTERN,23,PL-Pat,Pattern,"sink,surfboard",
000325.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,vase,
000326.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,airplane,
000327.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
000328.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
000329.jpg,SCATTER,24,P-Scat,Scatter,"cup,bottle,dining table",
000330.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,"person,tennis racket",
000331.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,"bowl,cake,dining table",
000332.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,,
000333.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,,
000335.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,airplane,
000336.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,bench,
000337.jpg,PATTERN,23,PL-Pat,Pattern,"umbrella,surfboard",
000338.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,person,
000339.jpg,SCATTER,24,P-Scat,Scatter,"bird,airplane",
000340.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,,
000341.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
000342.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,,
000343.jpg,PERSPECTIVE,21,S-Per,Perspective,,
000344.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points,"kite,bird",
000345.jpg,DIFFUSE,20,LS-Dif,Diffuse,airplane,
000346.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,"person,tie",
000347.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,,
000348.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,"person,bicycle",
000349.jpg,PATTERN,23,PL-Pat,Pattern,person,
000350.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
000351.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,,
000352.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,"person,car,sandwich,bicycle",
000354.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line,tie,
000355.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
000356.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT,"person,wine glass",
000357.jpg,PERSPECTIVE,21,S-Per,Perspective,traffic light,
000358.jpg,PATTERN,23,PL-Pat,Pattern,,
000360.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,vase,
000361.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line,person,
000362.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
000363.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line,,
000364.jpg,PATTERN,23,PL-Pat,Pattern,,
000365.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,,
000366.jpg,SCATTER,24,P-Scat,Scatter,orange,
000367.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle,bird,
000368.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,,
000369.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,zebra,
000370.jpg,SCATTER,24,P-Scat,Scatter,"orange,cake",
000371.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,bird,
000372.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,person,
000373.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,,
000374.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT,"laptop,couch,chair",
000375.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,,
000376.jpg,PATTERN,23,PL-Pat,Pattern,,
000377.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part,,
000379.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines,"person,snowboard",
000380.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,boat,
000381.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle,umbrella,
000382.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,person,
000383.jpg,HORI3,9,LS-Hori3,Horizontal Third Part,,
000384.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,vase,
000385.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve,dining table,
000386.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve,scissors,
000387.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,,
000388.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes,bottle,
000389.jpg,SCATTER,24,P-Scat,Scatter,"orange,bowl",
000390.jpg,SCATTER,24,P-Scat,Scatter,stop sign,
000391.jpg,PATTERN,23,PL-Pat,Pattern,,
000392.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve,clock,
000393.jpg,PERSPECTIVE,21,S-Per,Perspective,bus,
000394.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points,bird,
000395.jpg,PATTERN,23,PL-Pat,Pattern,,
000396.jpg,PATTERN,23,PL-Pat,Pattern,,
000398.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points,donut,
000399.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape,bird,
000400.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes,boat,
000401.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point,cat,
000402.jpg,PATTERN,23,PL-Pat,Pattern,,
